Platz,E-RLT,E-KM,D2-RLT,D2-BM,Dl-RLT,Dl-BM,C2-RLT,C2-LM,Cl-RLT,Cl-LM,B-RLT,B-GM,A-RLT,A-DM
1,67,80,97,117,122,146,177,213,222,266,443,532,886,1064
2,60,72,88,105,110,132,160,191,199,239,399,479,798,957
3,54,64,78,94,98,117,142,170,177,213,355,425,709,851
4,47,56,68,82,85,102,124,149,155,186,310,372,620,744
5,44,52,63,76,79,95,115,138,144,173,288,346,576,691
6,40,48,58,70,73,88,106,128,133,160,266,319,532,638
7,37,44,54,64,67,80,97,117,122,146,244,292,487,585
8,34,40,49,58,61,73,89,106,111,133,222,266,443,532
9,32,38,46,56,58,69,84,101,105,126,210,253,421,505
10,30,36,44,53,55,66,80,96,100,120,199,239,399,479
11,28,34,41,50,52,62,75,90,94,113,188,226,377,452
12,27,32,39,47,49,58,71,85,89,106,177,213,355,425
13,25,30,37,44,46,55,66,80,83,100,166,199,332,399
14,23,28,34,41,43,51,62,74,78,93,155,186,310,372
15,22,26,32,38,40,48,58,69,72,86,144,173,288,346
16,20,24,29,35,37,44,53,64,66,80,133,160,266,319
17,17,20,24,29,30,37,44,53,55,66,111,133,222,266
18,16,19,23,28,29,35,43,51,53,64,106,128,213,255
19,15,19,22,27,28,34,41,49,51,61,102,122,204,245
20,15,18,21,26,27,32,39,47,49,58,97,117,195,234
21,14,17,20,25,26,31,37,45,47,56,93,112,186,223
22,13,16,19,23,24,29,35,43,44,53,89,106,177,213
24,12,14,18,21,22,26,32,38,40,48,80,96,160,191
25,11,14,17,20,21,25,30,36,38,45,75,90,151,181
27,10,12,15,18,18,22,27,32,33,40,66,80,133,160
28,9,11,14,16,17,20,25,30,31,37,62,74,124,149
29,9,10,13,15,16,19,23,28,29,35,58,69,115,138
30,8,10,12,14,15,18,21,26,27,32,53,64,106,128
31,7,9,11,13,13,16,19,23,24,29,49,58,97,117
32,7,8,10,12,12,15,18,21,22,27,44,53,89,106
33,6,7,9,11,11,13,16,19,20,24,40,48,80,96
