
Platz,E-RLT,E-KM,D2-RLT,D2-BM,Dl-RLT,Dl-BM,C2-RLT,C2-LM,Cl-RLT,Cl-LM,B-RLT,B-GM,A-RLT,GMF-U11
1,167,201,244,292,305,365,443,532,554,664,1107,1329,2215,2658
2,151,181,219,263,274,329,399,478,498,598,997,1196,1993,2392
3,134,161,195,234,244,292,354,425,443,532,886,1063,1772,2126
4,117,141,171,205,213,256,310,372,388,465,775,930,1550,1860
5,109,131,158,190,198,238,288,346,360,432,720,864,1440,1728
6,100,121,146,175,183,219,266,319,332,399,664,797,1329,1595
7,92,111,134,161,168,201,244,292,305,365,609,731,1218,1462
8,84,101,122,146,152,183,221,266,277,332,554,664,1107,1329
9,80,95,116,139,145,174,210,252,263,316,526,631,1052,1262
10,75,90,110,132,137,164,199,239,249,299,498,598,997,1196
11,71,85,104,124,129,155,188,226,235,282,471,565,941,1130
12,67,80,97,117,122,146,177,213,221,266,443,532,886,1063
13,63,75,91,110,114,137,166,199,208,249,415,498,831,997
14,59,70,85,102,107,128,155,186,194,233,388,465,775,930
15,54,65,79,95,99,119,144,173,180,216,360,432,720,864
16,50,60,73,88,91,110,133,159,166,199,332,399,664,797
17,42,50,61,73,76,91,111,133,138,166,277,332,554,664
18,40,48,58,70,73,88,106,128,133,159,266,319,532,638
19,39,46,56,67,70,84,102,122,127,153,255,306,509,611
20,37,44,54,64,67,80,97,117,122,146,244,292,487,585
21,35,42,51,61,64,77,93,112,116,140,233,279,465,558
22,33,40,49,58,61,73,89,106,111,133,221,266,443,532
24,30,36,44,53,55,66,80,96,100,120,199,239,399,478
25,28,34,41,50,52,62,75,90,94,113,188,226,377,452
27,25,30,37,44,46,55,66,80,83,100,166,199,332,399
28,23,28,34,41,43,51,62,74,78,93,155,186,310,372
29,22,26,32,38,40,48,58,69,72,86,144,173,288,346
30,20,24,29,35,37,44,53,64,66,80,133,159,266,319
31,18,22,27,32,34,40,49,58,61,73,122,146,244,292
32,17,20,24,29,30,37,44,53,55,66,111,133,221,266
33,15,18,22,26,27,33,40,48,50,60,100,120,199,239
