Platz,E-RLT,E-KM,D2-RLT,D2-BM,D1-RLT,D1-BM,C2-RLT,C2-LM,C1-RLT,C1-LM,B-RLT,B-GM,A-RLT,A-DM
1    ,372  ,447 ,541   ,650  ,677   ,812  ,984   ,1181 ,1230  ,1477 ,2461 ,2953,4922 ,5906
2    ,335  ,402 ,487   ,585  ,609   ,731  ,886   ,1063 ,1107  ,1329 ,2215 ,2658,4430 ,5316
3    ,298  ,357 ,433   ,520  ,541   ,650  ,788   ,945  ,984   ,1181 ,1969 ,2363,3938 ,4725
4    ,260  ,313 ,379   ,455  ,474   ,568  ,689   ,827  ,861   ,1034 ,1723 ,2067,3445 ,4134
5    ,242  ,290 ,352   ,422  ,440   ,528  ,640   ,768  ,800   ,960  ,1600 ,1920,3199 ,3839
6    ,223  ,268 ,325   ,390  ,406   ,487  ,591   ,709  ,738   ,886  ,1477 ,1772,2953 ,3544
7    ,205  ,246 ,298   ,357  ,372   ,447  ,541   ,650  ,677   ,812  ,1354 ,1624,2707 ,3248
8    ,186  ,223 ,271   ,325  ,338   ,406  ,492   ,591  ,615   ,738  ,1230 ,1477,2461 ,2953
9    ,177  ,212 ,257   ,309  ,322   ,386  ,468   ,561  ,584   ,701  ,1169 ,1403,2338 ,2806
IO   ,167  ,201 ,244   ,292  ,305   ,365  ,443   ,532  ,554   ,664  ,1107 ,1329,2215 ,2658
11   ,158  ,190 ,230   ,276  ,288   ,345  ,418   ,502  ,523   ,628  ,1046 ,1255,2092 ,2510
12   ,149  ,179 ,217   ,260  ,271   ,325  ,394   ,473  ,492   ,591  ,984  ,1181,1969 ,2363
13   ,140  ,168 ,203   ,244  ,254   ,305  ,369   ,443  ,461   ,554  ,923  ,1107,1846 ,2215
14   ,130  ,156 ,189   ,227  ,237   ,284  ,345   ,413  ,431   ,517  ,861  ,1034,1723 ,2067
15   ,121  ,145 ,176   ,211  ,220   ,264  ,320   ,384  ,400   ,480  ,800  ,960 ,1600 ,1920
16   ,112  ,134 ,162   ,195  ,203   ,244  ,295   ,354  ,369   ,443  ,738  ,886 ,1477 ,1772
17   ,93   ,112 ,135   ,162  ,169   ,203  ,246   ,295  ,308   ,369  ,615  ,738 ,1230 ,1477
18   ,89   ,107 ,130   ,156  ,162   ,195  ,236   ,284  ,295   ,354  ,591  ,709 ,1181 ,1418
19   ,86   ,103 ,125   ,149  ,156   ,187  ,226   ,272  ,283   ,340  ,566  ,679 ,1132 ,1358
20   ,82   ,98  ,119   ,143  ,149   ,179  ,217   ,260  ,271   ,325  ,541  ,650 ,1083 ,1299
21   ,78   ,94  ,114   ,136  ,142   ,171  ,207   ,248  ,258   ,310  ,517  ,620 ,1034 ,1240
22   ,74   ,89  ,108   ,130  ,135   ,162  ,197   ,236  ,246   ,295  ,492  ,591 ,984  ,1181
24   ,67   ,80  ,97    ,117  ,122   ,146  ,177   ,213  ,221   ,266  ,443  ,532 ,886  ,1063
25   ,63   ,76  ,92    ,110  ,115   ,138  ,167   ,201  ,209   ,251  ,418  ,502 ,837  ,1004
27   ,56   ,67  ,81    ,97   ,102   ,122  ,148   ,177  ,185   ,221  ,369  ,443 ,738  ,886
28   ,52   ,63  ,76    ,91   ,95    ,114  ,138   ,165  ,172   ,207  ,345  ,413 ,689  ,827
29   ,48   ,58  ,70    ,84   ,88    ,106  ,128   ,154  ,160   ,192  ,320  ,384 ,640  ,768
30   ,45   ,54  ,65    ,78   ,81    ,97   ,118   ,142  ,140   ,177  ,295  ,354 ,591  ,709
31   ,41   ,49  ,60    ,71   ,74    ,89   ,108   ,130  ,135   ,162  ,271  ,325 ,541  ,650
32   ,37   ,45  ,54    ,65   ,68    ,81   ,98    ,118  ,123   ,148  ,246  ,295 ,492  ,591
33   ,33   ,40  ,49    ,58   ,61    ,73   ,89    ,106  ,111   ,133  ,221  ,266 ,443  ,532
