Platz,E-RLT,E-KM,D2-RLT,D2-BM,D1-RLT,D1-BM,C2-RLT,C2-LM,C1-RLT,C1-LM,B-RLT,B-GM,A-RLT,A-DM ,IS-U15,U15-EM
1    ,930  ,1117,1353  ,1624 ,1692  ,2030 ,2461  ,2953 ,3076  ,3691 ,6152 ,7383,12305,14766,14766 ,24610
2    ,837  ,1005,1218  ,1462 ,1523  ,1827 ,2215  ,2658 ,2769  ,3322 ,5537 ,6645,11074,13289,13289 ,22149
3    ,744  ,894 ,1083  ,1299 ,1354  ,1624 ,1969  ,2363 ,2461  ,2953 ,4922 ,5906,9844 ,11813,11813 ,19688
4    ,651  ,782 ,947   ,1137 ,1185  ,1421 ,1723  ,2067 ,2153  ,2584 ,4307 ,5168,8613 ,10336,10336 ,17227
5    ,605  ,726 ,880   ,1056 ,1100  ,1320 ,1600  ,1920 ,2000  ,2399 ,3999 ,4799,7998 ,9598 ,9598  ,15996
6    ,558  ,670 ,812   ,975  ,1015  ,1218 ,1477  ,1772 ,1846  ,2215 ,3691 ,4430,7383 ,8859 ,8859  ,14766
7    ,512  ,614 ,744   ,893  ,931   ,1117 ,1354  ,1624 ,1692  ,2030 ,3384 ,4061,6768 ,8121 ,8121  ,13535
8    ,465  ,558 ,677   ,812  ,846   ,1015 ,1231  ,1477 ,1538  ,1846 ,3076 ,3691,6152 ,7383 ,7383  ,12305
9    ,442  ,531 ,643   ,772  ,804   ,964  ,1169  ,1403 ,1461  ,1753 ,2922 ,3507,5845 ,7014 ,5845  ,11690
10   ,419  ,503 ,609   ,731  ,761   ,914  ,1107  ,1329 ,1384  ,1661 ,2769 ,3322,5537 ,6645 ,5537  ,11074
11   ,395  ,475 ,575   ,690  ,719   ,863  ,1046  ,1255 ,1307  ,1569 ,2615 ,3138,5230 ,6275 ,5230  ,10459
12   ,372  ,447 ,541   ,650  ,677   ,812  ,984   ,1181 ,1230  ,1477 ,2461 ,2953,4922 ,5906 ,4922  ,9844
13   ,349  ,419 ,508   ,609  ,635   ,761  ,923   ,1107 ,1154  ,1384 ,2307 ,2769,4614 ,5537 ,4614  ,9229
14   ,326  ,391 ,474   ,568  ,592   ,711  ,861   ,1034 ,1077  ,1292 ,2153 ,2584,4307 ,5168 ,4307  ,8613
15   ,302  ,363 ,440   ,528  ,550   ,660  ,800   ,960  ,1000  ,1200 ,2000 ,2399,3999 ,4799 ,3999  ,7998
16   ,279  ,335 ,406   ,487  ,508   ,609  ,738   ,886  ,923   ,1107 ,1846 ,2215,3691 ,4430 ,3691  ,7383
17   ,233  ,279 ,338   ,406  ,423   ,508  ,615   ,738  ,769   ,923  ,1538 ,1846,3076 ,3691 ,3076  ,6152
18   ,223  ,268 ,325   ,390  ,406   ,487  ,591   ,709  ,738   ,886  ,1477 ,1772,2953 ,3544 ,2953  ,5906
19   ,214  ,257 ,311   ,374  ,389   ,467  ,566   ,679  ,708   ,849  ,1415 ,1698,2830 ,3396 ,2830  ,5660
20   ,205  ,246 ,298   ,357  ,372   ,447  ,541   ,650  ,677   ,812  ,1354 ,1624,2707 ,3248 ,2707  ,5414
21   ,195  ,235 ,284   ,341  ,355   ,426  ,517   ,620  ,646   ,775  ,1292 ,1550,2584 ,3101 ,2584  ,5168
22   ,186  ,223 ,271   ,325  ,338   ,406  ,492   ,591  ,615   ,738  ,1230 ,1477,2461 ,2953 ,2461  ,4922
24   ,167  ,201 ,244   ,292  ,305   ,365  ,443   ,532  ,554   ,664  ,1107 ,1329,2215 ,2658 ,2215  ,4430
25   ,158  ,190 ,230   ,276  ,288   ,345  ,418   ,502  ,523   ,628  ,1046 ,1255,2092 ,2510 ,2092  ,4184
27   ,140  ,168 ,203   ,244  ,254   ,305  ,369   ,443  ,461   ,554  ,923  ,1107,1846 ,2215 ,1846  ,3691
28   ,130  ,156 ,189   ,227  ,237   ,284  ,345   ,413  ,431   ,517  ,861  ,1034,1723 ,2067 ,1723  ,3445
29   ,121  ,145 ,176   ,211  ,220   ,264  ,320   ,384  ,400   ,480  ,800  ,960 ,1600 ,1920 ,1600  ,3199
30   ,112  ,134 ,162   ,195  ,203   ,244  ,295   ,354  ,369   ,443  ,738  ,886 ,1477 ,1772 ,1477  ,2953
31   ,102  ,123 ,149   ,179  ,186   ,223  ,271   ,325  ,338   ,406  ,677  ,812 ,1354 ,1624 ,1354  ,2707
32   ,93   ,112 ,135   ,162  ,169   ,203  ,246   ,295  ,308   ,369  ,615  ,738 ,1230 ,1477 ,1230  ,2461
33   ,84   ,101 ,122   ,146  ,152   ,183  ,221   ,266  ,277   ,332  ,554  ,664 ,1107 ,1329 ,1107  ,2215
