Platz,E-RLT,E-KM,D2-RLT,D2-BM,Dl-RLT,Dl-BM,C2-RLT,C2-LM,Cl-RLT,Cl-LM,B-RLT,B-GM,A-RLT,A-DM,JIC-U19,JIGP-U19,U19-EM,JWM-YOG
1,2602,3124,3786,4543,4733,5679,6884,8261,8605,10326,17210,20652,34419,41303,48187,55071,68838,137677
2,2342,2812,3407,4089,4260,5111,6196,7435,7744,9293,15489,18586,30977,37173,43368,49563,61955,123909
3,2082,2499,3029,3635,3787,4543,5507,6608,6884,8261,13768,16521,27535,33042,38550,44056,55071,110141
4,1821,2187,2650,3180,3313,3975,4819,5782,6023,7228,12047,14456,24093,28912,33731,38549,48187,96374
5,1691,2031,2461,2953,3077,3691,4475,5369,5593,6712,11186,13423,22372,26847,31322,35796,44745,89490
6,1561,1874,2271,2726,2840,3407,4130,4956,5163,6195,10326,12391,20651,24782,28912,33042,41303,82606
7,1431,1718,2082,2499,2603,3124,3786,4543,4733,5679,9465,11358,18930,22717,26503,30289,37861,75722
8,1301,1562,1893,2272,2367,2840,3442,4130,4302,5163,8605,10326,17210,20652,24093,27535,34419,68838
9,1236,1484,1798,2158,2248,2698,3270,3924,4087,4905,8175,9809,16349,19619,19619,19619,32698,65396
10,1171,1406,1704,2044,2130,2556,3098,3717,3872,4647,7744,9293,15489,18586,18586,18586,30977,61954
11,1106,1328,1609,1931,2012,2414,2926,3511,3657,4388,7314,8777,14628,17554,17554,17554,29256,58513
12,1041,1250,1514,1817,1893,2272,2754,3304,3442,4130,6884,8261,13768,16521,16521,16521,27535,55071
13,976,1172,1420,1704,1775,2130,2581,3098,3227,3872,6454,7744,12907,15489,15489,15489,25814,51629
14,911,1093,1325,1590,1657,1988,2409,2891,3012,3614,6023,7228,12047,14456,14456,14456,24093,48187
15,846,1015,1230,1477,1538,1846,2237,2685,2797,3356,5593,6712,11186,13423,13424,13423,22373,44745
16,781,937,1136,1363,1420,1704,2065,2478,2581,3098,5163,6195,10326,12391,12391,12391,20652,41303
17,651,781,946,1136,1183,1420,1721,2065,2151,2581,4302,5163,8605,10326,10326,10326,17210,34419
18,625,750,909,1090,1136,1363,1652,1983,2065,2478,4130,4956,8261,9913,9913,9913,16521,33042
19,598,719,871,1045,1089,1306,1583,1900,1979,2375,3958,4750,7916,9500,9500,9500,15833,31666
20,572,687,833,1000,1041,1249,1514,1817,1893,2272,3786,4543,7572,9087,9087,9087,15144,30289
21,546,656,795,954,994,1193,1446,1735,1807,2168,3614,4337,7228,8674,8674,8674,14456,28912
22,520,625,757,909,947,1136,1377,1652,1721,2065,3442,4130,6884,8261,8261,8261,13768,27535
24,468,562,681,818,852,1022,1239,1487,1549,1859,3098,3717,6195,7435,7435,7435,12391,24782
25,442,531,644,772,805,965,1170,1404,1463,1755,2926,3511,5851,7022,7022,7021,11703,23405
27,390,469,568,681,710,852,1033,1239,1291,1549,2581,3098,5163,6195,6195,6195,10326,20651
28,364,437,530,636,663,795,964,1156,1205,1446,2409,2891,4819,5782,5782,5782,9637,19275
29,338,406,492,591,615,738,895,1074,1119,1342,2237,2685,4474,5369,5369,5369,8949,17898
30,312,375,454,545,568,681,826,991,1033,1239,2065,2478,4130,4956,4956,4956,8261,16521
31,286,344,416,500,521,625,757,909,947,1136,1893,2272,3786,4543,4543,4543,7572,15144
32,260,312,379,454,473,568,688,826,860,1033,1721,2065,3442,4130,4130,4130,6884,13768
33,234,281,341,409,426,511,620,743,774,929,1549,1859,3098,3717,3717,3717,6195,12391
